species	wood	lifespan	vegetative_start	vegetative_end	flowering_start	flowering_end	horizontal_pit_diameter_mean	vertical_pit_diameter_mean	vessel_diameter_mean	vessel_density_mean	vessel_grouping_mean	vessel_element_length_mean	vessel_element_wall_thickness_mean	fibre_length_mean	fibre_wall_thickness_mean	horizontal_pit_diameter_median	vertical_pit_diameter_median	vessel_diameter_median	vessel_density_median	vessel_grouping_median	vessel_element_length_median	vessel_element_wall_thickness_median	fibre_length_median	fibre_wall_thickness_median
Chamira_circaeoides	0	0	April	October	July	October	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_acuminata	0	0	April	October	August	September	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_africana	0	0	April	December	August	October	3.8	2.5	18.7	224	1.5	201	1.6	337	1.8	3.7	2.6	19	221	1	199	1.6	334	1.8
Heliophila_alpina	0	1	October	March	October	February	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_amplexicaulis	0	0	April	October	August	October	3.1	4	21.5	226	2	171	2	364	4.6	3.2	3.9	21.7	224	2	172	1.9	356	4.5
Heliophila_arenaria	0	0	April	October	July	September	3.1	2.6	16.5	332	2	141	1.7	337	1.4	3.1	2.7	16.3	326	1.5	141	1.7	331	1.4
Heliophila_biseriata	0	0	April	October	June	October	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_brassicifolia	0	1	October	March	October	February	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_bulbostyla	0	0	April	October	September	October	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_carnosa	0	1	NA	NA	June	April	4.5	2.3	13.1	990	1.8	130	2.4	228	2.4	4.4	1.9	12.4	958	1	130	2.3	226	2.5
Heliophila_cedarbergensis	0	1	September	April	October	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_cf_arenosa	0	0	April	October	September	October	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_cinerea	0	1	March	October	October	November	4.7	3.6	25.9	133	2.7	207	2.9	439	4.3	4.6	3.6	25.5	129	2	186	2.9	444	4.3
Heliophila_clarkii	0	0	April	October	September	October	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_collina	0	0	April	October	August	September	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_cornellsbergia	0	0	April	October	August	August	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_cornuta	1	1	June	December	July	October	4.4	3.6	11.7	676	2	123	2.5	243	2.4	4.4	3.5	11.5	663	1.5	123	2.5	244	2.3
Heliophila_coronopifolia	0	0	April	October	August	October	3.8	3	16.3	317	1.6	233	1.6	356	2	3.8	3	15.8	321	1	234	1.5	362	2
Heliophila_crithmifolia	0	0	April	October	July	October	4.4	3.4	16.7	388	2.3	178	1.8	309	2.1	4.4	3.4	16.1	372	2.9	168	1.7	300	2.1
Heliophila_cuneata	0	1	August	April	August	September	4.2	4	29.9	137	1.7	261	2.2	382	1.8	4	3.6	27.7	126	1	243	2.1	367	1.7
Heliophila_descurva	0	0	April	October	July	October	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_deserticola	0	0	March	October	July	September	4.6	3.3	27.8	126	2.3	191	2.2	315	2.4	4.5	3.3	27.8	130	2	188	2.1	322	2.4
Heliophila_diffusa	0	0	March	November	August	October	NA	NA	17.2	181	2.4	203	2.1	324	2.4	NA	NA	17.8	163	2	189	2.1	322	2.4
Heliophila_digitata	0	0	April	October	August	October	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_dregeana	0	1	August	April	August	October	3.6	2.5	12.9	733	1.5	117	2.2	248	2.1	3.6	2.5	12.5	717	1	115	2.2	248	2.1
Heliophila_elata	1	1	April	December	July	November	3.6	3.9	20.6	295	2.6	137	2.7	298	2.7	3.6	4	19.8	293	2	133	2.7	296	2.5
Heliophila_elongata	0	1	NA	NA	August	May	5.9	4.7	13.5	169	1.6	172	2.2	338	2	5.9	4.6	13.3	171	1	169	2.1	329	2
Heliophila_ephemera	0	1	March	October	August	September	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_esterhuyseniae	1	1	August	April	August	September	4.5	2.8	15.6	408	2.7	156	2.3	275	1.8	4.3	2.8	15.1	423	1.5	154	2.1	268	1.8
Heliophila_eximia	0	1	April	November	August	September	4.4	3.4	21.8	453	2.2	112	3.5	234	2.7	4.4	3.4	21.6	469	1.5	116	3.4	226	2.7
Heliophila_florulenta	1	1	January	December	June	August	4.5	4.2	16.7	329	1.5	114	3.1	265	2.8	4.5	4.1	16.7	325	1	114	2.9	268	2.7
Heliophila_gariepina	0	0	April	October	July	September	3.9	3.6	17.6	257	1.7	189	2	306	3	3.9	3.6	17.2	256	1	186	2	300	3.1
Heliophila_glabrescens	0	0	April	October	August	September	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_glauca	1	1	January	December	August	June	4.5	3.8	18.5	521	2.9	162	2.3	313	2.5	4.4	3.9	17.8	519	2	158	2.2	303	2.5
Heliophila_goldblattii	0	0	April	November	July	September	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliophila_juncea	0	1	March	September	August	November	5	3.5	18.1	431	1.8	136	2.2	290	2.2	4.9	3.5	17.5	413	1	136	2	293	2.1
Heliophila_laciniata	0	0	April	October	July	September	4.5	2.6	15	402	1.7	153	1.5	288	1.4	4.5	2.6	14.7	404	1	156	1.4	281	1.4
Heliophila_lactea	0	0	April	October	August	October	4	3.8	10.2	895	3.3	119	1.2	235	2	4	3.8	9.7	921	2.5	113	1.1	230	2
