species	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	BIO1	BIO2	BIO3	BIO4	BIO5	BIO6	BIO7	BIO8	BIO9	BIO10	BIO11	BIO12	BIO13	BIO14	BIO15	BIO16	BIO17	BIO18	BIO19
Heliophila_acuminata	22.8999996185303	23.2000007629395	21.7999992370605	19.2000007629395	15.8999996185303	13.5	12.5	13	14.6000003814697	17.6000003814697	19.8999996185303	21.7000007629395	11	10	16	34	60	70	65	57	38	21	16	16	0.0447	0.0466	0.0802	0.2444	0.5895	0.8337	0.7603	0.5829	0.3094	0.1161	0.0753	0.0658	17.9750003814697	12.3500003814697	53.9301338195801	400.559265136719	30.3999996185303	7.5	22.8999996185303	13.9499998092651	22.6333332061768	22.6333332061768	12.9833335876465	414	70	10	64.240852355957	195	37	37	192
Heliophila_acuminata	22.7999992370605	23.2000007629395	21.7000007629395	19.1000003814697	15.8999996185303	13.5	12.6000003814697	12.8999996185303	14.6999998092651	17.6000003814697	19.7999992370605	21.6000003814697	12	12	18	39	70	81	76	66	44	23	17	17	0.0485	0.0565	0.0908	0.2841	0.673	0.9633	0.9253	0.6779	0.3609	0.1321	0.0817	0.0712	17.9375	11.9416666030884	53.3110084533691	395.457885742188	30.1000003814697	7.69999980926514	22.4000015258789	13.9666662216187	22.5166664123535	22.5499992370605	12.9833335876465	475	81	12	66.3133697509766	227	41	42	223
Heliophila_acuminata	21.7999992370605	22	20.5	18.1000003814697	15.3000001907349	13.1999998092651	12.3999996185303	13.1000003814697	14.6999998092651	17.1000003814697	18.8999996185303	20.5	16	17	23	46	89	105	99	94	55	36	23	20	0.0695	0.0866	0.1282	0.3707	0.9955	1.3822	1.2688	0.9848	0.4705	0.218	0.1206	0.0914	17.2958335876465	10.6750001907349	52.8465347290039	352.429626464844	27.8999996185303	7.69999980926514	20.2000007629395	12.8999996185303	21.466667175293	21.466667175293	12.8999996185303	623	105	16	66.6403121948242	298	53	53	298
Heliophila_acuminata	22.8999996185303	23.2999992370605	21.8999996185303	19.2000007629395	15.8999996185303	13.3999996185303	12.3999996185303	12.8999996185303	14.6000003814697	17.5	19.8999996185303	21.7999992370605	11	10	17	35	60	71	66	59	38	22	17	16	0.0439	0.0463	0.0856	0.2512	0.5943	0.861	0.7742	0.5965	0.3113	0.1211	0.0805	0.0654	17.9624996185303	12.375	53.5714302062988	406.649993896484	30.5	7.40000009536743	23.1000003814697	13.8833332061768	22.6666660308838	22.7000007629395	12.8833332061768	422	71	10	63.7400207519531	197	37	38	196
Heliophila_acuminata	22.7999992370605	23.2999992370605	21.7000007629395	18.7999992370605	15.6000003814697	13.1000003814697	12.1999998092651	12.6000003814697	14.3000001907349	17.2000007629395	19.7000007629395	21.6000003814697	13	13	19	41	74	88	84	72	48	27	19	20	0.0523	0.0598	0.0961	0.3006	0.7587	1.0785	1.0375	0.746	0.3996	0.1582	0.0913	0.0839	17.7541656494141	12.2083330154419	52.3962821960449	413.084075927734	30.3999996185303	7.09999990463257	23.2999992370605	13.6166667938232	22.6000003814697	22.6000003814697	12.6333332061768	518	88	13	65.7407684326172	246	45	45	244
Heliophila_acuminata	22.7000007629395	23.2000007629395	21.6000003814697	18.7000007629395	15.3999996185303	12.8999996185303	12	12.5	14.1000003814697	17	19.5	21.5	14	14	20	41	75	88	84	73	49	28	20	20	0.0564	0.065	0.1007	0.3	0.753	1.0773	1.0398	0.7559	0.4075	0.1638	0.0964	0.0831	17.591667175293	12.2833337783813	52.2695045471191	415.827911376953	30.2999992370605	6.80000019073486	23.5	13.4333333969116	22.4833335876465	22.4833335876465	12.4333333969116	526	88	14	64.3498611450195	247	48	48	245
Heliophila_acuminata	22.6000003814697	23.2000007629395	21.6000003814697	18.6000003814697	15.1999998092651	12.6000003814697	11.6999998092651	12.1999998092651	13.8000001907349	16.7999992370605	19.3999996185303	21.3999996185303	16	16	22	42	79	94	87	80	52	31	24	22	0.0648	0.074	0.1103	0.3016	0.7855	1.1081	1.0253	0.8051	0.4262	0.1748	0.1144	0.09	17.4333324432373	12.5	52.3012542724609	428.004547119141	30.5	6.59999990463257	23.8999996185303	12.1666669845581	22.4833335876465	22.4833335876465	12.1666669845581	565	94	16	62.4827346801758	261	54	54	261
Heliophila_acuminata	23.6000003814697	24.1000003814697	22.7000007629395	19.7000007629395	16.1000003814697	13.3999996185303	12.5	13	14.8999996185303	17.8999996185303	20.5	22.5	11	11	17	34	59	74	68	60	38	22	17	17	0.0424	0.0497	0.0853	0.2477	0.5993	0.8853	0.817	0.6088	0.3128	0.1206	0.0788	0.0682	18.408332824707	12.5666666030884	52.1438446044922	435.649108886719	31.2999992370605	7.19999980926514	24.0999984741211	12.966667175293	23.466667175293	23.466667175293	12.966667175293	428	74	11	64.2695770263672	202	39	39	202
Heliophila_acuminata	23.1000003814697	23.7000007629395	22	19	15.6000003814697	13	12.1999998092651	12.8000001907349	14.6000003814697	17.5	20	21.8999996185303	17	17	23	46	87	105	99	89	56	35	24	23	0.0691	0.0801	0.1174	0.3451	0.9138	1.3591	1.2344	0.9217	0.4738	0.2071	0.1161	0.0958	17.9291667938232	12.2083330154419	51.2955169677734	424.293304443359	30.6000003814697	6.80000019073486	23.7999992370605	12.6333332061768	22.9166660308838	22.9166660308838	12.6333332061768	621	105	17	64.8396911621094	293	57	57	293
Heliophila_acuminata	22.6000003814697	23.2000007629395	21.7000007629395	18.7000007629395	15.3000001907349	12.8000001907349	12	12.5	14.1999998092651	17	19.5	21.5	15	14	21	40	75	92	86	79	50	30	22	21	0.06	0.0642	0.1053	0.2938	0.763	1.0824	1.033	0.7763	0.4054	0.1705	0.1058	0.087	17.6041660308838	12.0749998092651	51.6025619506836	415.667388916016	30.1000003814697	6.69999980926514	23.4000015258789	12.4666662216187	22.533332824707	22.533332824707	12.4666662216187	545	92	14	64.1763534545898	257	50	50	257
