"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"Predictor"	"PC1:annual"	"PC2:annual"	"PC3:annual"	"lifespan"	"PC1:perennial"	"PC2:perennial"	"PC3:perennial"
"p-value"	"0.465 ± 0.022"	"0.52 ± 0.027"	"0.84 ± 0.034"	"0.007 ± 0.003"	"0.74 ± 0.022"	"0.116 ± 0.013"	"0.725 ± 0.031"
"horizontal_pit_diameter_mean"	"0.109 ± 0.003"	"-0.215 ± 0.011"	"-0.032 ± 0.009"	"-0.118 ± 0.003"	"-0.104 ± 0.001"	"0.218 ± 0.006"	"-0.214 ± 0.005"
"vertical_pit_diameter_mean"	"0.135 ± 0.001"	"-0.432 ± 0.002"	"-0.222 ± 0.002"	"-0.312 ± 0.01"	"-0.16 ± 0.003"	"0.551 ± 0.001"	"-0.041 ± 0.003"
"vessel_diameter_mean"	"-0.008 ± 0.001"	"-0.192 ± 0.008"	"-0.175 ± 0.003"	"-0.232 ± 0.007"	"0.046 ± 0.002"	"0.438 ± 0.004"	"0.285 ± 0.004"
"vessel_density_mean"	"-0.031 ± 0.004"	"0.034 ± 0.007"	"0.056 ± 0.005"	"0.909 ± 0.004"	"-0.181 ± 0.003"	"-0.144 ± 0.005"	"0.019 ± 0.001"
"vessel_grouping_mean"	"-0.147 ± 0.002"	"-0.369 ± 0.001"	"0.089 ± 0.008"	"-0.201 ± 0.009"	"0.106 ± 0.002"	"0.599 ± 0.002"	"-0.078 ± 0.005"
"vessel_element_length_mean"	"0.235 ± 0.001"	"-0.048 ± 0.01"	"-0.143 ± 0.007"	"-1.502 ± 0.005"	"-0.041 ± 0.001"	"0.282 ± 0.006"	"0.227 ± 0.006"
"vessel_element_wall_thickness_mean"	"-0.02 ± 0.001"	"-0.162 ± 0.001"	"-0.16 ± 0.004"	"1.332 ± 0.002"	"-0.073 ± 0.001"	"0.233 ± 0.001"	"0.156 ± 0.001"
"fibre_length_mean"	"0.058 ± 0.003"	"-0.032 ± 0.015"	"0.07 ± 0.011"	"-0.907 ± 0.002"	"0.108 ± 0.002"	"0.319 ± 0.011"	"-0.04 ± 0.005"
"fibre_wall_thickness_mean"	"0.043 ± 0.001"	"-0.212 ± 0.002"	"-0.39 ± 0.005"	"0.286 ± 0.003"	"-0.009 ± 0.002"	"0.278 ± 0.001"	"0.437 ± 0.004"
