"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"Predictor"	"PC1:annual"	"PC2:annual"	"PC3:annual"	"lifespan"	"PC1:perennial"	"PC2:perennial"	"PC3:perennial"
"p-value"	"0.45 ± 0.05"	"0.514 ± 0.033"	"0.832 ± 0.046"	"0.006 ± 0.002"	"0.728 ± 0.042"	"0.109 ± 0.022"	"0.712 ± 0.041"
"horizontal_pit_diameter_mean"	"0.109 ± 0.004"	"-0.211 ± 0.02"	"-0.035 ± 0.007"	"-0.115 ± 0.01"	"-0.103 ± 0.002"	"0.215 ± 0.014"	"-0.212 ± 0.005"
"vertical_pit_diameter_mean"	"0.134 ± 0.003"	"-0.438 ± 0.017"	"-0.222 ± 0.005"	"-0.312 ± 0.015"	"-0.158 ± 0.007"	"0.558 ± 0.016"	"-0.039 ± 0.007"
"vessel_diameter_mean"	"-0.01 ± 0.004"	"-0.203 ± 0.03"	"-0.179 ± 0.01"	"-0.233 ± 0.008"	"0.047 ± 0.003"	"0.446 ± 0.021"	"0.288 ± 0.011"
"vessel_density_mean"	"-0.03 ± 0.006"	"0.038 ± 0.015"	"0.056 ± 0.006"	"0.906 ± 0.008"	"-0.18 ± 0.003"	"-0.146 ± 0.011"	"0.019 ± 0.002"
"vessel_grouping_mean"	"-0.146 ± 0.002"	"-0.364 ± 0.012"	"0.088 ± 0.012"	"-0.198 ± 0.016"	"0.106 ± 0.002"	"0.596 ± 0.01"	"-0.076 ± 0.01"
"vessel_element_length_mean"	"0.235 ± 0.002"	"-0.059 ± 0.033"	"-0.147 ± 0.016"	"-1.508 ± 0.011"	"-0.043 ± 0.004"	"0.291 ± 0.025"	"0.23 ± 0.013"
"vessel_element_wall_thickness_mean"	"-0.021 ± 0.001"	"-0.167 ± 0.01"	"-0.161 ± 0.003"	"1.331 ± 0.005"	"-0.074 ± 0.003"	"0.237 ± 0.01"	"0.157 ± 0.002"
"fibre_length_mean"	"0.056 ± 0.006"	"-0.044 ± 0.038"	"0.066 ± 0.019"	"-0.907 ± 0.004"	"0.108 ± 0.003"	"0.329 ± 0.032"	"-0.037 ± 0.01"
"fibre_wall_thickness_mean"	"0.043 ± 0.003"	"-0.214 ± 0.006"	"-0.391 ± 0.008"	"0.284 ± 0.011"	"-0.011 ± 0.005"	"0.281 ± 0.009"	"0.437 ± 0.008"
